Product,Inventory,Purchases,Invoices,Pending Invoices,Loaded,Picked,Delivered,Unsellable,In Production,On-Floor,Pre-Sales,Allocated,Available
10768 Bell's Oktoberfest Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10769 Bell's Oktoberfest 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10779 Bell's Hopslam 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10799 Bell's Hopslam Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10800 Bell's Hopslam 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
107001 Bell's Oberon Eclipse Citrus Wheat 4/6/12 oz Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
107002 Bell's Oberon Eclipse Citrus Wheat Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
107003 Bell's Oberon Eclipse Citrus Wheat 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
107004 Bell's Oberon Eclipse Citrus Wheat 2/12/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
107005 Bell's Hazy Hearted IPA 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
107006 Bell's Big Hearted 4/6/12 oz Can,34,0,0,0,2,0,0,0,0,32,0,0,32
107007 Bell's Big Hearted 1/15/19.2 oz Can,30,0,0,0,1,0,0,2,0,27,1,0,26
107008 Bell's Oberon Eclipse Raspberry Wheat 4/6/12 oz Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
107009 Bell's Oberon Light 2/12/12 oz Can,46,0,0,0,0,0,0, (2),0,48,1,0,47
107010 Bell's Summer Variety 1/24/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,455,0,0,1,17,0,0,68,0,369,5,0,364
Bella Ray Beverage,,,,,,,,,,,,,
94040 Bella Ray THC Jingle Juice 20 MG 6/4/12 oz Can,87,0,0,0,0,0,0,0,0,87,0,0,87
94044 Bella Ray THC Pink Lemonade 10 MG 6/4/12 oz Can,24,0,0,0,0,0,0, (1),0,25,0,0,25
94045 Bella Ray THC Iced Tea 10 MG 6/4/12 oz Can,20,0,0,0,0,0,0,6,0,14,0,0,14
94046 Bella Ray THC Lemonade 10 MG 6/4/12 oz Can,50,0,0,0,0,0,0, (1),0,51,0,0,51
94047 Bella Ray THC Tropical 10 MG 6/4/12 oz Can,14,0,0,0,0,0,0, (1),0,15,0,0,15
Total,195,0,0,0,0,0,0,3,0,192,0,0,192
BJ'S Private Label Brew,,,,,,,,,,,,,
14101 BJ'S Black Cherry Soda Keg 15.5 Gal Keg,1,0,0,0,0,0,0,0,0,1,0,0,1
14102 BJ'S Brewhouse Blonde 4/6/12 oz Can,6,0,0,0,0,0,0, (1),0,7,0,0,7
14103 BJ'S Brewhouse Blonde Keg 15.5 Gal Keg,8,0,0,0,0,0,0,0,0,8,0,0,8
14104 BJ'S Committed DIPA 4/6/12 oz Can,5,0,0,0,0,0,0,0,0,5,0,0,5
14105 BJ'S Committed DIPA Keg 15.5 Gal Keg,4,0,0,0,0,0,0,0,0,4,0,0,4
14106 BJ'S Enchantress Pilsner Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
14107 BJ'S Ginger Beer 6/4/12 oz Can,1,0,0,0,0,0,0,0,0,1,0,0,1
14108 BJ'S Ginger Beer Keg 15.5 Gal Keg,1,0,0,0,0,0,0,0,0,1,0,0,1
14109 BJ'S Grand Cru Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
14110 BJ'S Harvest Hefeweizen Keg 15.5 Gal Keg,2,0,0,0,0,0,0,0,0,2,0,0,2
14111 BJ'S Hopstorm IPA 4/6/12 oz Can, (1),0,0,0,0,0,0, (1),0,0,0,0,0
14112 BJ'S Hopstorm IPA Keg 15.5 Gal Keg,9,0,0,0,0,0,0,0,0,9,0,0,9
14113 BJ'S Jeremiah Red 4/6/12 oz Can,8,0,0,0,0,0,0,0,0,8,0,0,8
14114 BJ'S Jeremiah Red Keg 15.5 Gal Keg,5,0,0,0,0,0,0,0,0,5,0,0,5
14115 BJ'S Lightswitch Lager Keg 15.5 Gal Keg,1,0,0,0,0,0,0,0,0,1,0,0,1
14116 BJ'S Nit Wit White Ale Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
14117 BJ'S Nutty Brewnette Keg 15.5 Gal Keg,1,0,0,0,0,0,0,0,0,1,0,0,1
14118 BJ'S Oasis Amber 4/6/12 oz Can,4,0,0,0,0,0,0,0,0,4,0,0,4
14119 BJ'S Oasis Amber Keg 15.5 BBL,0,0,0,0,0,0,0,0,0,0,0,0,0
14120 BJ'S Orange Cream Soda Keg 15.5 Gal Keg,3,0,0,0,0,0,0,0,0,3,0,0,3
14121 BJ'S Piranha Pale Ale 4/6/12 oz Can,3,0,0,0,0,0,0,0,0,3,0,0,3
14122 BJ'S Piranha Pale Ale Keg 15.5 Gal Keg,4,0,0,0,0,0,0,0,0,4,0,0,4
14123 BJ'S PM Porter Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
14124 BJ'S Root Beer 6/4/12 oz Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
14125 BJ'S Root Beer Non-Alcoholic 15.5 Gal Keg,18,0,0,0,0,0,0,2,0,16,1,0,15
14126 BJ'S Tatonka Stout Keg 15.5 Gal Keg,3,0,0,0,0,0,0,0,0,3,0,0,3
14127 BJ'S Vanilla Cream Soda Keg 15.5 Gal Keg,4,0,0,0,0,0,0,0,0,4,0,0,4
14128 BJ'S Whiskey Barrel Stout Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
14129 BJ'S Zaney Zitrus 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
