Package ID,Package,Fluid Ounces Per Case,Case Equiv Description,Case Weight in Lbs,Case Equiv,Wholesale Units per Case,Retail Units per Case,Consumable Units per Case,Servings per Case,Selling Unit Of Measure,Container Type,Pick Units Per Case
261,0/0/68.42 oz,821,Beer,20.50,2.850694,1,1,12,1,3) Case (CA),Aluminum Can,1
262,0/0/7.00 oz,168,Beer,20.50,0.583333,1,1,24,1,3) Case (CA),Aluminum Can,1
263,0/0/8.00 oz,192,Beer,20.50,0.666667,1,1,24,1,3) Case (CA),Aluminum Can,1
264,0/0/8.42 oz,202,Beer,20.50,0.701389,1,1,24,1,3) Case (CA),Aluminum Can,1
265,0/0/8.50 oz,204,Beer,20.50,0.708333,1,1,24,1,3) Case (CA),Aluminum Can,1
266,0/0/84.50 oz,338,Beer,30,1.173611,1,1,4,1,3) Case (CA),Aluminum Can,1
267,0/0/846.00 oz,846,Beer,30,2.9375,1,1,1,1,3) Case (CA),Aluminum Can,1
268,0/0/85.00 oz,340,Beer,30,1.180556,1,1,4,1,3) Case (CA),Aluminum Can,1
269,0/0/9.21 oz,221,Beer,30,0.767361,1,1,24,1,3) Case (CA),Aluminum Can,1
270,0/0/9.58 oz,230,Beer,30,0.798611,1,1,24,1,3) Case (CA),Aluminum Can,1
271,0/0/992.00 oz,992,Beer,30,3.444444,1,1,1,1,3) Case (CA),Aluminum Can,1
149,1 LTR,405.60,Wine & Liquor,25,1.332780,1,12,12,1,3) Case (CA),Aluminum Can,1
150,1.5L,304.20,Beer,25,1.056250,1,1,6,1,3) Case (CA),Aluminum Can,1
151,1.75L,354.60,Wine & Liquor,25,1.165197,1,6,6,1,3) Case (CA),Aluminum Can,1
152,1.7OZ,68,Beer,21,0.236111,1,40,40,1,3) Case (CA),Aluminum Can,1
3,1/0/0.00 oz,0,Beer,60,0,1,1,1,1,3) Case (CA),Aluminum Can,1
4,1/1/0.00 oz,0,Beer,40,0,1,1,1,1,3) Case (CA),Aluminum Can,1
5,1/1/1.00 oz,1,Beer,160,0.003472,1,1,1,1,3) Case (CA),Aluminum Can,1
