Sales Rep Assigned / Supplier / Brand Family,Qualifier Brands,Case Equiv   6/1/2025 - 8/31/2025,Case Equiv   6/1/2026 - 8/31/2026,( Case Equiv   6/1/2026 - 8/31/2026) Goals,( Case Equiv   6/1/2026 - 8/31/2026) % of Goals,Case Equiv Unit Difference
Yuengling Flight,,3,,,0%,-3
DG Yuengling Inc,Qualifier: Yuengling Lager,24,,,0%,-24
Yuengling Lager,,24,,,0%,-24
Heineken USA,Amplify: Heineken Light / Heineken 0.0,5,3,,0%,-2
Heineken 0.0,,4,3,,0%,-1
Heineken Light,,1,,,0%,-1
Heineken USA,Qualifier: Heineken USA,32,24,23,104.3%,-8
Heineken USA,,32,24,,0%,-8
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,16,,,0%,-16
Cayman Jack,,16,,,0%,-16
Mark Anthony,Qualifier: White Claw,25,,,0%,-25
White Claw,,25,,,0%,-25
MolsonCoors Beverage Company,Amplify: Coors / Peroni,6,,,0%,-6
Peroni,,6,,,0%,-6
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,150,27,,0%,-124
Blue Moon,,10,2,,0%,-8
Coors Light,,122,16,,0%,-105
Lite,,19,8,,0%,-11
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,5,5,,0%,0
Voodoo Family,,5,5,,0%,0
Sapporo,Amplify: Sapporo,3432,461,,0%,-2971
Sapporo,,3432,461,,0%,-2971
Hakan Sadik,,935,156,,0%,-780
Bell's,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,2,,,0%,-2
Bell's,,2,,,0%,-2
Boston Beer Company,Amplify: Dogfish Head,3,,,0%,-3
Dogfish Head Spirits,,3,,,0%,-3
DG Yuengling Inc,Qualifier: Yuengling Lager,1,,,0%,-1
Yuengling Lager,,1,,,0%,-1
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,3,,,0%,-3
Voodoo Family,,3,,,0%,-3
Sapporo,Amplify: Sapporo,926,156,,0%,-770
Sapporo,,926,156,,0%,-770
Jaime Colonna,,2562,407,,0%,-2155
Boston Beer Company,Amplify: Dogfish Head,3,1,,0%,-2
Dogfish Head Beer,,3,1,,0%,-2
Boston Beer Company,Qualifier: Truly / Twisted Tea,33,11,35,31.4%,-22
Truly,,15,,,0%,-15
Twisted Tea,,18,11,,0%,-7
Cape May,Amplify: Cape May,5,,,0%,-5
Cape May,,5,,,0%,-5
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,15,4,,0%,-11
Modelo Chelada,,12,3,,0%,-9
Victoria,,3,1,,0%,-2
Constellation Brands,Qualifier: Modelo/Corona,436,82,433,18.9%,-355
Corona Extra,,253,49,,0%,-204
Modelo Especial,,183,33,,0%,-150
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,1,,,0%,-1
Yuengling Flight,,1,,,0%,-1
DG Yuengling Inc,Qualifier: Yuengling Lager,64,,,0%,-64
