Customer Num,Customer Name,Area,Shipping Address,City,Date,Sales Rep Name,District Manager Name,Brand,Brand Family,Supplier,Units   2026
1005,Grasshopper Irish Pub (A),Passaic,2891 Route 23,Newfoundland,8/24/2026,Allison Scott,Chris McCrohan,Samuel Adams Octoberfest Seasonal Beer,Samuel Adams,Boston Beer Company,1.00
31056,H Mart Inc (Space A103),Bergen,1 American Dream Way,East Rutherford,8/24/2026,Nick Melissari,Chris McCrohan,Blue Moon Belgian White Ale,Blue Moon,MolsonCoors Beverage Company,1.00
150187,Burke's Tavern,Essex,150 Lafeyette St,Newark,8/24/2026,Alisa Acciardi,Mike Kennedy,Pabst Blue Ribbon,Pabst Blue Ribbon,Pabst Brewing Company,2.00
50008,101 Pub (A),Bergen,101 Queen Anne Rd,Bogota,8/24/2026,Paul Mclaughlin,Chris McCrohan,Samuel Adams Octoberfest Seasonal Beer,Samuel Adams,Boston Beer Company,2.00
190923,Knotty Pine Pub (P),Morris 1,242 E Union Turnpike,Wharton,8/24/2026,Brian Sengebush,Chris McCrohan,Samuel Adams Octoberfest Seasonal Beer,Samuel Adams,Boston Beer Company,1.00
29051,Medieval Times,Bergen,149 Polito Ave,Lyndhurst,8/24/2026,Paul Mclaughlin,Chris McCrohan,Modelo Especial,Modelo Especial,Constellation Brands,6.00
92007,Brady's At(A)The Station,Bergen,5 W Main St,Ramsey,8/24/2026,Nick Melissari,Chris McCrohan,Blue Moon Belgian White Ale,Blue Moon,MolsonCoors Beverage Company,2.00
49016,Ipic Theaters,Bergen,2023 Hudson St,Fort Lee,8/24/2026,Dan Lagala,Mike Engel,Montauk Wave Chaser IPA,Montauk,Montauk Brewing Co,1.00
29051,Medieval Times,Bergen,149 Polito Ave,Lyndhurst,8/24/2026,Paul Mclaughlin,Chris McCrohan,Coors Light,Coors Light,MolsonCoors Beverage Company,2.00
50008,101 Pub (A),Bergen,101 Queen Anne Rd,Bogota,8/24/2026,Paul Mclaughlin,Chris McCrohan,Yuengling Lager,Yuengling Lager,DG Yuengling Inc,2.00
190214,Johnnie's Tavern,Morris 1,301 Boonton Ave,Boonton,8/24/2026,Brian Sengebush,Chris McCrohan,Yuengling Lager,Yuengling Lager,DG Yuengling Inc,2.00
191009,Mason Street Grille,Morris 1,24 Mason St,Lake Hopatcong,8/24/2026,Brian Sengebush,Chris McCrohan,Angry Orchard Crisp Apple,Angry Orchard,Boston Beer Company,1.00
7005,Chili's (Riverdale),Morris 3,58 NJ-23,Riverdale,8/24/2026,Allison Scott,Chris McCrohan,Coors Light,Coors Light,MolsonCoors Beverage Company,1.00
60017,K Of C Dumont,Bergen,61 Armour Pl,Dumont,8/24/2026,Robin Feldman,Chris McCrohan,Miller Lite,Lite,MolsonCoors Beverage Company,1.00
170282,The Hoboken Biergarten,Hudson,1422 Grand Street,Hoboken,8/24/2026,Jaime Colonna,Mike Kennedy,Stone Buenaveza,Stone Brewing,Stone Brewing,1.00
150049,Verona Inn(Z),Essex,624 Bloomfield Ave,Verona,8/24/2026,Michael Harboy,Mike Kennedy,LONG TRAIL Vermont IPA,Long Trail,Harpoon Brewery,2.00
170282,The Hoboken Biergarten,Hudson,1422 Grand Street,Hoboken,8/24/2026,Jaime Colonna,Mike Kennedy,BAVIK,Bavik,Global Beer,-1.00
