Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,Distribution Area,County,City,Area,Premise,Buyer Count   2026,Cases   2026
Alisa Acciardi,150026,FERRY WINE & LIQUOR STOP,178 Ferry St,Essex,Essex,Newark,Essex,Off Premise,1.00,23.00
Alisa Acciardi,150033,Discount Liquors Bloomfield,24 1st Avenue,Essex,Essex,Bloomfield,Essex,Off Premise,1.00,66.00
Alisa Acciardi,150037,Heller & Heller Liquors (Nutley),200 N Franklin Ave,Essex,Essex,Nutley,Essex,Off Premise,1.00,217.00
Alisa Acciardi,150038,Pioneer Wine's & Liquors,652 Joralemon Street,Essex,Essex,Belleville,Essex,Off Premise,1.00,224.00
Alisa Acciardi,150050,Fitzgerald 1928,13 Herman St,Essex,Essex,Glen Ridge,Essex,On Premise,1.00,33.00
Alisa Acciardi,150052,Bottle King Glen Ridge,710 Bloomfield Ave,Essex,Essex,Glen Ridge,Essex,Off Premise,1.00,4005.00
Alisa Acciardi,150060,Belleville Liquors,736 Belleville Ave,Essex,Essex,Belleville,Essex,Off Premise,1.00,343.00
Alisa Acciardi,150073,Oasis Liquor & Deli,521 Ferry St,Essex,Essex,Newark,Essex,Off Premise,1.00,14.00
Alisa Acciardi,150080,Berkeley Liquors,129 Franklin St.,Essex,Essex,Bloomfield,Essex,Off Premise,1.00,306.00
Alisa Acciardi,150085,The Oakley Kitchen,789 Bloomfield Ave,Essex,Essex,Nutley,Essex,On Premise,1.00,3.00
Alisa Acciardi,150086,Cordes Wine & Liquor,370 Broad St,Essex,Essex,Bloomfield,Essex,Off Premise,1.00,86.00
Alisa Acciardi,150090,Olshins Pharmacy,114 Congress St,Essex,Essex,Newark,Essex,Off Premise,1.00,20.00
Alisa Acciardi,150098,Lisbon Wines & Liquors,114 Ferry St,Essex,Essex,Newark,Essex,Off Premise,1.00,128.00
Alisa Acciardi,150106,Iron Bound Wines & Spirit,124 Adams St.,Essex,Essex,Newark,Essex,Off Premise,1.00,125.00
Alisa Acciardi,150109,Kelly's Liquors,726 Washington Ave,Essex,Essex,Belleville,Essex,Off Premise,1.00,652.00
Alisa Acciardi,150112,The Old Canal Inn,2 East Passaic Ave,Essex,Essex,Nutley,Essex,On Premise,1.00,18.00
Alisa Acciardi,150123,Cowans Public,229 Centre St,Essex,Essex,Nutley,Essex,On Premise,1.00,15.00
Alisa Acciardi,150128,C & I Liquors(Superfresh),165 Belmont Ave,Essex,Essex,Belleville,Essex,Off Premise,1.00,240.00
Alisa Acciardi,150129,White Oaks Liquors,418 Union Ave,Essex,Essex,Belleville,Essex,Off Premise,1.00,240.00
Alisa Acciardi,150130,Seabra Liquors,83 Wilson Ave,Essex,Essex,Newark,Essex,Off Premise,1.00,755.00
Alisa Acciardi,150131,Lbv Cellars,266 Chestnut St,Essex,Essex,Newark,Essex,Off Premise,1.00,231.00
Alisa Acciardi,150139,Mompou Restaurant,77 Ferry St,Essex,Essex,Newark,Essex,On Premise,1.00,32.00
Alisa Acciardi,150142,Fornos Of Spain (A),47 Ferry St,Essex,Essex,Newark,Essex,On Premise,1.00,10.00
Alisa Acciardi,150144,Home Liquors(480 Newark) (P),480 Market St,Essex,Essex,Newark,Essex,Off Premise,1.00,205.00
Alisa Acciardi,150146,Bello's,376 Market St,Essex,Essex,Newark,Essex,On Premise,1.00,58.00
Alisa Acciardi,150152,Krauszer Food & Liquor,1263 Broad St,Essex,Essex,Bloomfield,Essex,Off Premise,1.00,276.00
Alisa Acciardi,150157,Plaza Wine & Liquor,123 Bloomfield Ave,Essex,Essex,Bloomfield,Essex,Off Premise,1.00,358.00
Alisa Acciardi,150171,21 Plaza Wine & Liquor,1411 Mccarter Hwy,Essex,Essex,Newark,Essex,Off Premise,1.00,20.00
Alisa Acciardi,150175,Primavera Liquor,49 Pacific St,Essex,Essex,Newark,Essex,Off Premise,1.00,19.00
Alisa Acciardi,150176,Lou's Corner,168 Van Buren St,Essex,Essex,Newark,Essex,Off Premise,1.00,38.00
Alisa Acciardi,150187,Burke's Tavern,150 Lafeyette St,Essex,Essex,Newark,Essex,On Premise,1.00,12.00
Alisa Acciardi,150199,Town Pub Of Bloomfeild,378 Broad St,Essex,Essex,Bloomfield,Essex,On Premise,1.00,11.00
Alisa Acciardi,150229,City Discount Liquors,114-130 Stockton St.,Essex,Essex,Newark,Essex,Off Premise,1.00,175.00
Alisa Acciardi,150252,Guys & Dolls Billiards & Sports Bar,524 Washington Ave,Essex,Essex,Belleville,Essex,On Premise,1.00,12.00
